GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AX-26,489.65,242.92,4.13,1.19,0.96,262.12,15.06,182.16,18.76,260.99,2.45,51.13,2.57,0.1,0.23,10.32,26.72,74.01,10.67,1.1504,0.6155,15.467,14.457,27.892,29.701,22.483,22.691,40.156,33.551
AY-21,528.8,259.85,2.4,1.39,0.99,345.12,17.62,153.47,17.75,273.32,2.53,64.72,2.16,0.2,0.37,4.42,20.81,105.34,12.33,1.1209,0.613,14.571,13.969,26.804,28.989,24.034,22.839,38.952,32.86
AY-22,570.69,246.24,2.04,1.31,1,359.07,16.58,175.74,18.86,278.27,2.02,61.13,1.49,0.32,0.22,3.39,18.94,117.94,12.31,1.1074,0.6188,14.635,13.833,27.481,29.682,24.615,23.5,37.895,32.758
AY-24,518.46,207.53,0.89,1.24,0.94,344.66,22.59,136.94,18.88,221.59,8.32,42.09,1.21,0.03,0.08,15.12,27.55,100.33,14.69,1.1122,0.6145,14.656,13.759,27.161,29.163,23.896,23.075,39.16,33.265
AY-25,522.24,257.23,0.44,1.15,0.85,324.33,18.01,167.94,19.44,274.93,1.88,42.22,1.59,0.07,0.12,12.45,30.3,87.32,11.52,1.1261,0.6134,16.045,15.189,26.503,29.427,23.619,23.307,40.589,33.528
AY-26,493.1,259.42,5.02,1.47,1.36,227.92,10.04,180.74,18.1,269.89,2.72,51.18,1.93,0.06,0.14,4.29,19.13,84.77,7.71,1.1623,0.6255,15.434,14.349,26.909,29.052,23.741,23.907,40.15,33.982
AZ-20,516.95,254.03,1.77,1.17,1.02,290.24,11.41,169.03,15.66,281.18,3.64,70.94,3.11,0.11,0.19,3.43,10.04,108.51,9.48,1.1435,0.6155,14.633,13.833,27.077,29.104,23.711,23.556,39.523,33.214
AZ-21,548.96,283.06,1.07,1.22,1.05,327.3,13.56,157.13,17.02,285.09,2.69,66.03,5.21,0.09,0.33,4.74,24.41,113.58,11.54,1.1308,0.6132,14.623,13.574,27.081,28.821,24.85,22.962,37.893,32.19
AZ-22,521.59,266.61,3.15,1.3,1.03,317.81,14.7,163.66,17.95,276.75,3.22,63.46,2.24,0.23,0.09,3.85,18.59,100.71,9.12,1.1363,0.6107,15.119,14.572,26.941,29.135,24.438,23.127,38.487,32.463
AZ-23,565.11,307.43,5.38,1.41,1.24,318.87,18.65,126.34,18.53,272.03,2.56,44.82,1.73,0.26,0.28,15.26,30.67,118.31,12.6,1.1512,0.6101,14.642,13.998,27.193,28.925,23.746,22.493,38.798,32.409
AZ-24,526.94,220.91,0.9,1.27,1.1,366.87,15.27,151.74,19.25,276.96,2.34,32.12,0.49,0.06,0.12,1.37,25.75,95.67,9.72,1.1318,0.6109,14.19,13.245,27.437,29.783,23.585,23.252,39.241,33.469
AZ-25,504.66,168.42,0.31,1.44,1.07,316.3,22.54,157.62,0,0,0,32.76,0.97,0.05,0.04,1.69,27.38,99.54,15.31,1.1114,0.6145,14.358,13.712,27.177,29.343,23.112,22.9,39.883,33.417
AZ-26,499.02,254.19,8.31,1.61,1.46,256.72,13.92,163.58,19.26,272.08,2.61,44.35,0.73,0.14,0.16,11.13,32.83,72.59,10.86,1.1388,0.614,14.993,14.295,26.468,28.883,22.554,22.795,41.526,33.885
