GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AG-9,599.47,29.02,8.13,1.37,1.21,577.17,27.89,169.82,0,0,0,0,3.75,0.27,0.3,0,53.76,86.38,15.14,0,0,0,0,0,0,0,0,0,0
AH-10,562.56,15.1,3.21,1.13,0.89,634.96,25.8,239.44,0,0,0,0,2.75,0.38,0.61,0,54.34,128.49,19.2,0,0,0,0,0,0,0,0,0,0
AH-9,604.62,42.19,5.54,1.29,1.14,630.38,18.36,188.98,0,0,0,0,1.81,0.36,0.11,0,35.22,76.34,12.27,0,0,0,0,0,0,0,0,0,0
AI-11,594.92,29.88,4.38,1.31,0.92,587.84,31.25,91.96,0,0,0,45.27,2.82,0.04,0.15,2.21,101.26,78.96,18.54,1.0394,0.6299,19.276,19.388,26.905,27.167,21.863,19.855,39.714,31.119
AI-12,604.31,70.73,4.95,1.37,1.19,502.19,30.87,137.77,0,0,0,44.97,3.03,0.34,0.21,1.95,63.15,71.36,18.3,1.0722,0.6337,19.198,19.179,26.816,27.503,23.21,20.449,38.388,30.671
AI-8,567.91,54.39,9,1.2,1.05,668.34,34.04,150.03,0,0,0,66.5,2.51,0.17,0.08,2.83,65.91,117.91,19.97,1.0586,0.6365,20.022,20.545,27.997,27.652,22.944,21.188,37.782,30.463
AJ-11,573.02,69.32,7.05,1.49,1.22,527.17,29.58,161.59,0,0,0,35.67,4.15,0.15,0.18,1.18,74.12,43.09,15.97,1.0849,0.635,20.069,20.292,26.597,26.91,22.281,19.717,39.596,30.687
AJ-12,551.01,98.36,9.79,1.5,1.35,435.51,24.22,110.63,0,0,0,44.29,2.26,0.33,0.33,2.46,51.04,82.72,14.91,1.087,0.6301,17.929,17.566,26.05,27.269,23.734,21.113,38.906,30.964
AJ-13,573.53,257.95,13.6,1.44,1.28,368.15,19.79,154.34,18.89,273.22,3.13,44.89,1.16,0.26,0.13,2.01,28.46,99.63,11.69,1.0674,0.6256,17.995,17.772,26.227,27.388,24.816,22.395,37.75,31.533
AJ-8,537.42,110.45,8.17,1.38,1.24,564.78,21.22,137.23,0,0,0,64.65,2.24,0.13,0.4,2.67,56.72,64.6,11.4,1.1088,0.6445,19.426,19.825,27.592,28.225,23.532,21.199,37.569,30.808
AJ-9,586.35,181.13,5.36,1.47,1.34,549.52,34.24,112.54,17.81,245.34,3.26,52.85,2.79,0.12,0.35,9.96,69.69,113.28,24,1.0916,0.6416,19.385,19.723,27.278,27.75,21.99,20.457,39.832,31.622
AK-11,630.42,47.27,11.02,1.38,1.25,434.17,23.71,142.49,0,0,0,45.38,0.96,0.2,0.09,2.66,35.51,91.45,12.83,1.1002,0.639,17.489,16.86,25.676,26.958,22.886,19.731,39.793,30.632
AK-12,561.46,140.95,6.22,1.4,1.25,393.73,18.65,188.31,0,0,0,45.44,3.31,0.3,0.17,2.02,46.63,85.91,11.33,1.0585,0.6225,17.719,17.757,26.154,27.805,24.716,22.402,38.301,31.727
AK-13,536.12,175.74,5.03,1.44,1.32,354.33,20.36,196.76,17.68,282.36,0.78,46.15,1.19,0.05,0.15,2.25,33.75,126.19,15.39,1.0588,0.6106,16.12,15.805,26.752,28.576,23.32,21.564,39.062,32.29
AK-8,534.82,185.49,10.96,1.49,1.32,453.22,15.51,154.64,0,0,0,63.14,1.86,0.16,0.21,11.55,32.02,64.2,12.09,1.1279,0.6363,18.281,17.994,26.421,27.351,21.865,19.467,40.088,31.369
AK-9,647.67,108.22,5.15,1.45,1.11,577.91,34.79,177.05,0,0,0,44.25,0.72,0.03,0.2,1.4,80.68,146.48,17.95,1.0485,0.6316,19.275,19.609,26.602,28.087,24.77,22.447,38.239,31.145
AL-7,649.74,132.38,6.14,1.34,1.09,650.43,26.75,106.54,0,0,0,64.5,1.83,0.09,0.18,0,71.21,75.44,18.66,1.0741,0.6404,19.868,19.82,27.079,27.023,22.022,20.533,39.605,30.872
AL-8,648.55,207.55,8.05,1.36,1.18,517.15,30.51,169.08,0,0,0,68.61,4,0.2,0.64,2.43,84.51,40.85,20.78,1.1098,0.6404,19.139,18.809,26.869,27.497,21.308,19.574,40.298,31.319
AL-9,693.35,183.05,6.31,1.45,1.26,454.64,26.61,157.07,0,0,0,48.17,1.14,0.06,0.35,10.59,52.01,130.02,16.61,1.0927,0.6288,17.192,16.699,25.858,27.006,22.928,20.07,39.638,30.769
AM-13,541.41,199.42,2.46,1.43,1.22,311.6,30.09,179.16,18.26,273.58,1.46,45.11,0.63,0.1,0.29,1.55,53.8,80.96,16.84,1.0603,0.6137,14.254,14.018,27.472,29.36,21.711,20.637,40.057,32.618
AM-14,529.88,209.95,4.66,1.46,1.33,263,26.56,196.33,18.13,263.42,2.14,47.12,1.52,0.04,0.31,2.22,54.05,102.81,26.53,1.0866,0.6111,16.178,15.505,27.236,28.869,20.835,21.305,41.923,33.732
AM-2,664.5,24.45,8.36,1.34,1.21,687.07,24.74,86.3,0,0,0,65.5,1.55,0.19,0.08,1.41,63.94,89.62,15.69,1.0787,0.6428,19.736,20.244,27.109,26.368,19.942,17.982,40.48,30.58
AM-6,558.71,55.9,2.18,1.48,1.05,617.59,27.39,135.67,0,0,0,66.21,2.06,0.07,0.17,2.19,58.9,77.04,17.17,1.0737,0.6401,19.44,19.287,27.825,27.639,22.772,20.924,38.258,30.526
AM-7,588.92,292.61,4.11,1.51,1.34,469.39,19.42,133.04,16.96,243.07,5.91,69.28,2.65,0.28,0.57,3.03,54.04,59.65,17.44,1.1194,0.6338,18.354,17.537,27.065,28.789,21.488,19.88,40.105,31.766
AM-8,578.14,313.71,3.39,1.41,1.2,382.59,13.84,140.15,17.19,244.32,1.57,65.07,3.98,0.08,0.2,11.5,19.17,87.51,12.06,1.1187,0.6196,15.314,14.466,26.215,27.762,23.316,21.114,39.492,31.933
AM-9,660.9,194.94,4.4,1.38,1.14,399.28,27.78,115.13,19.34,251.59,0.15,45.82,1.59,0.07,0.43,2.19,37.87,101.66,17.23,1.0504,0.6156,15.052,14.963,26.933,28.638,23.586,21.301,38.546,31.431
AN-10,535.48,114.91,4.3,1.41,1.28,367.36,24.97,159.79,0,0,0,45.9,1.01,0.31,0.2,2.27,44.66,109.33,14.91,1.0722,0.6126,14.644,14.456,26.725,28.748,23.09,21.509,39.637,32.175
AN-11,545.95,176.3,4.2,1.46,1.37,378.29,25.64,145.16,0,0,0,44.27,0.53,0.16,0.24,1.78,38.76,118.81,15.3,1.0587,0.6153,15.001,14.556,26.057,27.934,22.667,20.663,40.488,31.921
AN-12,604.33,71.3,0.02,1,0.49,409.02,16.51,136.92,0,0,0,47.47,1.31,0.08,0.08,2.21,31.41,91.24,11.35,1.0388,0.6147,15.601,14.782,26.698,28.609,22.728,20.565,39.81,31.708
AN-13,516.89,110.23,1,1.33,0.98,349.28,31.75,141.36,0,0,0,45.02,1.17,0.04,0.11,2.19,58.55,80.08,19.2,1.0465,0.6161,14.705,14.27,26.958,28.962,21.917,20.747,40.569,32.533
AN-14,571.99,214.46,3.76,1.47,1.31,284.51,25.84,201.28,0,0,0,46.99,0.33,0.02,0.09,2.34,65.83,122.43,25.12,1.0828,0.6114,16.687,16.279,27.411,29.026,20.423,20.565,41.897,33.399
AN-15,576.42,248.46,0.73,1.3,1.16,361.05,15.42,199.62,0,0,0,48.26,0.94,0.07,0.19,1.82,25.31,90.55,10.59,1.0457,0.6173,17.526,18.14,27.81,29.529,20.648,20.958,41.381,33.392
AN-2,488.46,98.78,6.02,1.45,1.32,655.96,32.75,133.53,0,0,0,54.76,2.53,0.17,0.25,13.42,69.77,73.77,17.25,1.0743,0.6441,19.489,18.898,25.956,25.18,20.265,17.882,40.715,30.683
AN-3,509.98,184.45,9.99,1.35,1.29,557.6,19.88,86.13,18.5,218.6,0.76,65.56,1.8,0.18,0.32,8.07,79.38,69.95,13.04,1.1275,0.6432,17.845,16.981,26.786,27.038,21.261,18.885,39.721,30.758
AN-4,581.51,167.64,3.77,1.48,1.35,582.8,28.27,128.35,0,0,0,68.25,0.45,0.08,0.21,2.25,63.13,80.28,19.18,1.0972,0.6408,17.935,17.272,26.85,26.862,21.102,18.877,39.91,30.848
AN-5,638.25,188.92,3.48,1.43,1.19,559.04,30.37,130.99,0,0,0,66.1,0.81,0.04,0.56,2.42,68.69,79.67,19.92,1.0887,0.6409,18.221,17.738,27.451,27.666,21.624,19.395,39.276,30.912
AN-6,559.98,230.87,4.72,1.39,1.13,495.03,26.58,118.01,17.75,253.61,2.32,67.91,2.48,0.06,0.33,3.3,46.26,85.53,20.31,1.1207,0.6351,17.299,16.16,25.966,26.67,22.812,19.961,39.249,30.892
AN-7,548.59,266.26,2.68,1.51,1.37,430.17,18.3,135.49,17.49,273.75,2.67,52.82,2.71,0.16,0.42,18.03,39.83,69.69,18.77,1.1039,0.6289,16.911,16.099,27.986,29.671,21.255,20.024,39.969,32.286
AN-8,538.81,277.87,1.7,1.19,1.05,397.77,8.67,169.33,18.32,266.41,1.95,60.1,0.87,0.13,0.26,13.45,9.72,109.81,8.32,1.1135,0.6147,15.613,14.982,27.404,29.749,22.417,20.881,39.978,32.547
AN-9,531.08,173.11,4.02,1.35,1.11,402.82,20.57,202.95,0,0,0,44.46,3.35,0.09,0.47,1.85,43.02,92.72,13.67,1.0544,0.6218,14.963,14.437,26.43,28.507,23.227,21.472,39.917,32.225
AO-10,551.25,155.74,3.75,1.49,1.3,357.46,26.72,174.21,18.53,275.35,2.27,44.82,1.19,0.14,0.39,2.16,52.34,104.1,14.54,1.0391,0.6148,14.864,14.383,26.874,28.742,21.726,20.702,40.882,32.793
AO-11,491.68,252.56,1.96,1.24,1.07,336.33,17.42,156.06,19.11,281.58,1.18,54.53,1.62,0.01,0.07,6.59,24.78,99.41,11.77,1.0753,0.6219,15.262,14.324,26.906,28.823,21.306,20.794,41.506,33.143
AO-12,540.83,224.26,0.87,1.05,0.93,344.61,15.65,155.88,19.28,273.97,1.56,60.66,0.95,0.05,0.24,2.58,22.1,114.39,12.31,1.0426,0.6186,14.477,13.9,26.52,28.793,21.694,21.079,41.469,33.092
AO-13,552.18,211.53,4.32,1.56,1.42,289.96,27.69,190.01,19.93,254.64,0.9,47,1.26,0.06,0.36,3.34,53.4,105.34,24.88,1.0812,0.6138,15.829,14.776,27.384,29.386,21.025,21.556,42.271,33.681
AO-14,525.15,259.42,0.33,1.2,0.83,362.13,12.77,140.22,20.03,272.12,1.3,48.29,1.79,0.11,0.42,1.19,24.69,105.97,9,1.0668,0.6133,15.153,14.741,27.353,29.105,20.824,20.812,41.703,33.269
AO-2,497.41,218.88,5.66,1.5,1.34,478.7,17.58,166.43,0,0,0,69.34,0.74,0.13,0.13,2.24,45.53,65.23,11.52,1.1434,0.6405,18.065,17.4,26.481,27.48,21.087,18.907,40.415,31.016
AO-3,516.79,261.95,3.74,1.47,1.23,432.56,13.19,121.68,18.68,223.66,1.03,69.86,1.32,0.06,0.26,2.66,27.88,85.71,11.6,1.1349,0.6317,16.969,16.705,26.466,28.75,21.894,20.628,40.698,32.091
AO-4,572.75,307.91,4.61,1.4,1.23,427.05,12.12,127.8,18.78,220.56,0.68,70.9,0.49,0.04,0.23,2.2,24.59,85.31,11.22,1.1146,0.6274,16.597,15.873,27.986,30.184,22.216,21.232,39.447,32.799
AO-5,549.39,280.08,5.06,1.28,1.14,400.38,9.87,123.76,18.12,254.25,2.56,71.85,1.75,0.03,0.25,1.61,26.61,71.69,7.99,1.097,0.6192,16.043,15.298,27.306,29.317,21.236,20.691,40.923,32.778
AO-6,554.45,303.58,5.3,1.33,1.13,419.04,18.43,146.53,19.64,251.13,2.83,60.35,2.78,0.19,0.34,15.94,24.81,115.94,12.82,1.1157,0.6186,16.157,15.388,27.279,28.056,21.568,19.661,39.627,31.595
AO-7,555.69,181.82,3.47,1.47,1.28,403.6,22.54,152.08,18.4,280.02,2.05,33.53,3.33,0.06,0.19,3.73,33.45,103.4,15.48,1.0738,0.6142,14.778,14.093,28.165,30.105,21.858,20.58,39.481,32.337
AO-8,525.52,233.41,0.58,1.07,0.98,402.85,14.2,158.39,18.05,278.67,3.35,49.59,3.78,0.07,0.31,1.59,22.72,109.05,9.31,1.0649,0.6137,14.734,14.089,27.313,29.29,22.277,20.636,39.887,32.326
AO-9,565.71,143.32,0.28,1.19,0.89,403.19,21.79,177.07,18.26,277.56,1.9,46.59,0.89,0.24,0.34,1.08,38.78,116.59,11.71,1.0359,0.6168,15.031,14.68,27.305,29.4,22.15,21.195,40.169,33.099
AP-10,546.05,224.74,0.44,1.37,1.16,350.9,18.59,171.78,0,0,0,47.84,0.65,0.1,0.27,0.82,31.58,117.62,13.8,1.0353,0.6114,14.901,14.543,26.993,29.161,20.915,20.552,41.92,33.201
AP-11,524.38,263.39,3.17,1.26,1.1,297.91,16.9,142.58,19.95,261.77,2.03,51.68,1.46,0.04,0.5,7.19,34.84,78.43,16.41,1.0846,0.6182,14.86,13.942,28.782,29.644,19.348,19.669,41.695,33.401
AP-12,507.13,251.22,5.23,1.21,1.05,279.3,15.5,152.59,18.84,255.69,3.13,59,0.84,0.09,0.48,3.51,19.65,119.56,11.77,1.1245,0.6159,14.705,13.455,29.167,29.603,18.443,18.682,42.088,33.41
AP-13,494.71,247.25,2.43,1.43,1.33,294.95,15.76,141.37,19.32,269.77,2.27,59.49,1.74,0.09,0.46,3.7,41.98,98.04,15.11,1.1041,0.6153,14.954,13.639,27.29,28.653,20.406,20.531,42.16,33.315
AP-14,515.22,265.18,3.16,1.4,1.18,259.73,14.68,140.6,19.9,269.78,2.26,51.79,1.3,0.17,0.13,8.75,28.26,98.84,16.69,1.1314,0.6135,16.256,14.878,28.521,29.895,20.088,21.136,42.258,33.972
AP-15,532.81,264.81,4.46,1.26,1.11,285.96,15.66,149.15,19.43,255.42,2.64,46.78,1.64,0.22,0.36,1.65,30.11,107.63,15.15,1.1017,0.6224,16.205,15.353,29.125,29.94,18.033,18.352,42.458,33.918
AP-2,537.02,169.43,3.3,1.41,1.27,516.13,15.52,145.57,17.74,222.12,0.98,59.92,0.5,0.02,0.06,10.83,37.12,85.39,9.63,1.1004,0.6365,17.201,16.389,26.503,27.246,21.948,19.283,39.195,30.368
AP-3,511.51,76.33,2.18,1.56,1.34,469.95,26.16,173.41,0,0,0,59.9,0.98,0.22,0.26,12.93,36.19,101.13,15.74,1.0962,0.6304,16.497,15.873,26.199,27.364,22.369,20.008,39.519,31.066
AP-4,539.34,258.64,5.18,1.4,1.21,391.27,16.1,168.76,19,262.37,0.84,68.81,1.29,0.01,0.35,7.37,35.67,84.82,13.49,1.0702,0.6242,15.219,15.215,26.769,29.607,21.5,21.189,41.533,33.364
AP-5,549.86,284.09,5.93,1.43,1.05,351.26,7.33,138.27,17.85,256.06,1.86,72.72,1.28,0.05,0.3,1.92,16.36,74.51,6.57,1.0557,0.6193,15.663,15.021,27.393,29.386,19.022,20.079,43.935,34.492
