"GRID_ID","Mean_SWF","Mean_SHDI","SD_SHDI","Mean_Elev","Mean_Slope","Mean_Aspect","Mean_Temp","Mean_Rs","Mean_P","Mean_Soil_pote","SD_Rs","SD_P","SD_Temp","SD_Soil_pote","SD_Elev","SD_Aspect","SD_Slope","Mean_Bulk_Dens","SD_Bulk_Dens","Mean_Ca_Exg","SD_Ca_Exg","Mean_Clay","SD_Clay","Mean_Sand","SD_Sand","Mean_Silt","SD_Silt"
"AA-14",0.245613261580705,0.408799091443713,0.454734783292109,0.630096626472456,0.819177800010512,0.0452643167330301,0.820762208104219,0.840788811775325,0.841277842123219,0.89053071037532,0.113504580859638,0.225818641869404,0.0243892903134862,0.95320838053944,0.916674778935594,0.0588218193420776,0.50933362239527,0.900919098121027,0.0907768611351846,0.295681352451538,0.311436805536262,0.883502225221397,0.887362501462605,0.366834589909889,0.628235068977859,0.316506189196761,0.718314534778029
"AA-15",0.22183720464083,0.0724828765919476,0.482271058372531,0.783134990428764,0.467418391064793,0.280666778674289,0.850495540804104,0.76524283923011,0.83994760742075,0.337625020539807,0.109585625487349,0.322078052479465,0.00317323333817771,0.559504331286344,0.416760156481231,0.0110095850301275,0.115176878690661,0.7758868577814,0.465466305224129,0.0717774212200114,0.469842494224517,0.262553416787279,0.612821829414772,0.241182842529702,0.126792956315225,0.153247867895047,0.211798492405241
"AA-16",0.593207654820937,0.27635353394998,0.238593040119315,0.511981700458171,0.93404107821967,0.0378433210488391,0.401583013869312,0.421265089462713,0.433657839489338,0.179904859233223,0.0271075518251713,0.155526939856041,0.0751155274365693,0.243425318080613,0.0275605428837819,0.0152150275644401,0.462927555846104,0.645986091852474,0.115060544039768,0.0254556596526715,0.369348337276345,0.295043935932324,0.525566553396159,0.444661600571605,0.0956687986183398,0.256801548865533,0.311458422057008
"AA-19",0.703526361723738,0.243224192353605,0.794840616014808,0.505136549697443,0.836166468705661,0.0394016512472784,0.651529092598977,0.650615841950342,0.727345383998883,0.95993373327922,0.126729683039715,0.202549109951738,0.0526040595381616,0.984747361625371,0.709875170730164,0.0700659135307338,0.670504692523653,0.950622045131937,0.128749930164136,0.0746638535969651,0.046408179055085,0.708828814733313,0.106652009637156,0.556819249256088,0.381961205434293,0.164417300965904,0.142902902822742
"AA-20",0.284414488392606,0.282084055073999,0.449259767296958,0.506158200410353,0.76435295403176,0.214446723591889,0.522905863513034,0.522821863034187,0.490114075956062,0.201603382089035,0.0360459110477724,0.0160470680741604,0.137396632840483,0.318956657403723,0.645771928645942,0.129641970567201,0.36512978203338,0.497456123139837,0.00381074058972387,0.279411877664448,0.0767739364472129,0.0206013314337943,0.0513925934351645,0.180797642999675,0.115393387146731,0.478814904598083,0.152296877860315
"AA-21",0.270507119284871,0.117671520708119,0.386483182345766,0.502177704748729,0.83880448386803,0.0920113817587037,0.400175701028534,0.40312587442305,0.387384113341053,0.175276704300976,0.0944333888535304,0.00530950345584358,0.172797269383058,0.203882445412585,0.969890939321313,0.078771821499108,0.653277100942576,0.615141366249284,0.440183816941189,0.265032477069099,0.283146490219775,0.271783234440993,0.316045549473693,0.565268039531574,0.317874201286642,0.312334012132692,0.155866158146236
"AB-10",0.226813241904013,0.05691184761714,0.377300599945538,0.815130714550797,0.726233274177008,0.134633702137575,0.79622769718322,0.768357975065856,0.853098052319689,0.212103760373718,0.263886775214236,0.159063104137476,0.191072629969361,0.243661806789966,0.853577999354916,0.114746100895813,0.103229344156312,0.53516789667897,0.918307191590789,0.323480804300664,0.458895276034235,0.510123656772083,0.731484628682921,0.0678476596454854,0.411648471779164,0.118520465237494,0.311049021715971
"AB-11",0.199217243078533,0.669483008582772,0.448486794665454,0.783639292797337,0.870305992592538,0.0353388542668956,0.810061043823912,0.731081382870009,0.839796610677859,0.921998540584356,0.0178307263810277,0.0424861913720034,0.170946948069695,0.95571548283054,0.923218624518709,0.0685277974584282,0.695680079472989,0.875908897843592,0.124647728932551,0.422854273975756,0.245878468325055,0.962009750272238,0.869998213808297,0.450755361776888,0.701933217655875,0.0922989680497067,0.749666867841642
"AB-12",0.103071360867951,0.397137963455076,0.075916810837143,0.844487374500444,0.480093115056636,0.0544135130616078,0.852940211228908,0.848537796573579,0.905841501568807,0.954850679307501,0.23001850667739,0.313709643208832,0.0787804721039551,0.955326378021872,0.16237289786892,0,0.00522851248643486,0.898894563162821,0.254843457620413,0.300744015278899,0.340150443011554,0.868142907799006,0.932676800834038,0.20588162004503,0.654471390464303,0.27884845086775,0.844071821822782
"AB-14",0.116070085377085,0.616244477912473,0.644398407007773,0.800901828525259,0.820628235277169,0.179941067197728,0.787675562858463,0.814250134902844,0.864755485543472,0.913467601673105,0.232605009857233,0.199293398114513,0.150312655364726,0.94095610184125,0.89471200353373,0.199177609359696,0.555181865153997,0.888839633757964,0.0849868757516426,0.251055316311161,0.182452193019379,0.853370410452767,0.929459935389038,0.410896943862804,0.726032674481209,0.0292345691418584,0.739387513128137
"AB-15",0.286709160225804,0.0134483053748685,0.365555263675818,0.884347267688509,0.118859301066489,0.0547978122612977,0.790680246719833,0.821744521361552,0.793233265057474,0.436027831719594,0.13627745468667,0.31516134008038,0.0639141582461667,0.482656807023911,0.274555923578892,0.011870919211828,0.154005838070264,0.37250127217908,0.727194306496191,0.051017534758802,0.458027723655706,0.0170029919739641,0.57859980142116,0.268460222403043,0.0273157961560966,0.108274853874287,0.355218639232611
"AB-16",0.253663770991518,0.158450916382659,0.483981764318423,0.879328704956465,0.266462175565366,0.139326924553718,0.808767972946304,0.781632088836769,0.792811259186014,0.34791637112787,0.262493519959009,0.319055946757385,0.0829689497445538,0.318057492173987,0.325929939656099,0.142146133263525,0.205598585965657,0.52845802881882,0.727646329112518,0.0405362927260807,0.507729676369791,0.183936092559898,0.65280736262341,0.0960966093826457,0.0644015007252339,0.142387520412905,0.0189386542108087
"AB-17",0.355181121135839,0.156167947613238,0.161786678013389,0.795875422819305,0.445732916634895,0.187945608605311,0.809254714332891,0.796434115096531,0.861951237977937,0.42504797704176,0.0640984089768081,0.229174087442475,0.0176009445238639,0.497263981256041,0.436176293024914,0.0700967164328709,0.260757381758284,0.583496291233057,0.288293276560297,0.19820901647484,0.445880326191264,0.140887156644515,0.505958103614672,0.0927768793134328,0.139159277531494,0.0460888482236493,0.381910950590747
"AB-18",0.641064660278879,0.205214036915344,0.785835257355523,0.17784025067287,0.871984384757385,0.167315784209309,0.750950935692318,0.807709668139988,0.831322169986689,0.917506866480016,0.155541226102373,0.169689886112193,0.0446015747848896,0.925371121981345,0.903542884871594,0.0632014670422489,0.575501405904289,0.879568505987255,0.143773167000839,0.0778367254556673,0.0447991893421938,0.681046387450717,0.434904374438239,0.516493827103909,0.694149063419089,0.332769315613921,0.19107086674603
"AB-19",0.282116859733513,0.265480019669117,0.212304425395812,0.471020100350941,0.551912642540516,0.0459815676101249,0.558270399437977,0.593096647447404,0.608740539336962,0.228525758240099,0.106785923002942,0.0966974416654758,0.219779398566144,0.384040155113677,0.528464781935389,0.0875924834778769,0.516470397422795,0.338889231286408,0.248179668840526,0.280486053282979,0.367859437227075,0.0965518222937875,0.291345654403158,0.31126395970178,0.352872974944091,0.0162355764934494,0.561497980295269
"AB-20",0.483031128661399,0.293363661947332,0.272731865931146,0.350938886001689,0.608052490507439,0.062463233431941,0.390484222249963,0.467137265972352,0.53316331348133,0.0912132394476056,0.0942969610623002,0.106198259736037,0.134782925431833,0.320175267021413,0.562116117994699,0.0511941656358181,0.469707451387076,0.574325588479706,0.488103452502209,0.293044756267849,0.305824773955828,0.295081827118933,0.257344899360121,0.14045452908353,0.499968749291045,0.0555845077618664,0.290858897605157
"AB-21",0.315857878339641,0.164620650088732,0.281015962693721,0.434381245233583,0.74840956825911,0.217091692564808,0.54507169608503,0.543183159467166,0.530444673384054,0.36435989377203,0.245670498192329,0.145006586490965,0.193012800674802,0.278120112489672,0.521639194386253,0.0578151900772103,0.532701835328692,0.667832986473625,0.0873350957694126,0.273289360681744,0.35676795272627,0.342226627956638,0.135401653628696,0.31650718000772,0.0751254871530617,0.0616993871570616,0.20319368788572
"AB-8",0.200692017647269,0.177167345753975,0.329924104793608,0.825965909274429,0.224446827244916,0.14753442493728,0.807907955816313,0.814640944811006,0.896523663091104,0.260928355862647,0.0199709862586039,0.0731664651276172,0.114785386719791,0.678061873355211,0.932587574268144,0.0773661948290928,0.0512656410422848,0.563349723461339,0.868009245321841,0.409510129629243,0.523946410403426,0.478672409100049,0.625382294443445,0.0379872799791944,0.5147186957338,0.175782771816276,0.375754526711651
"AB-9",0.175629802576267,0.266991242800118,0.295462536864899,0.8624288703265,0.707579424800622,0.0474585957778711,0.776180114807047,0.768560538099948,0.801582522185774,0.094881054949769,0.0672388862188996,0.244457708684699,0.0425959768387822,0.617870452683561,0.850697061922867,0.0777833267100456,0.195454315561243,0.46935965461508,0.846352752374748,0.656286478724425,0.553037784836357,0.383303614288722,0.893037449320588,0.206846151500537,0.56732109499904,0.250023189263713,0.885114615916691
"AC-10",0.446285078409707,0.559822637958668,0.574094441892094,0.825969223052881,0.816844251888419,0.128310789228897,0.798179920891866,0.788128156423231,0.855387407525638,0.88940259655999,0.223394565276383,0.153038250419918,0.177237111553735,0.88041569553328,0.861469477637211,0.0631874457160228,0.311907807734046,0.928878510387638,0.0112925660093413,0.36467908537627,0.323654721120904,0.847860648911479,0.857216402291345,0.246721819063941,0.667365314724244,0.0123029464959055,0.740297700561792
"AC-13",0.224922062157567,0.0493447885660754,0.334034321610294,0.816094967299117,0.695216050160826,0.136043090868759,0.804310106879342,0.79116095051122,0.856323550732034,0.411533673285502,0.16203497352445,0.118969097976833,0.180336639119846,0.882977506489378,0.668165717392299,0.149740978527042,0.427027935029889,0.853565835607329,0.555450384928352,0.297366202828116,0.472129479348271,0.703123262357673,0.827782363238072,0.269649285628259,0.378271746651525,0.246131011899751,0.857758521214591
"AC-14",0.381754109785935,0.135287697734146,0.267855853931909,0.681984184493325,0.353825598067408,0.521332583082988,0.256142162029035,0.547607607976954,0.618259117648906,0.115167350537548,0.204314303716856,0.0549349734517029,0.0692580232797401,0.539512410807949,0.68444888483834,0.211737960338936,0.318438106309426,0.568832710922829,0.495996192678151,0.161258832939594,0.191403582388167,0.183573120725021,0.534412596979181,0.291553122847971,0.251674955402922,0.0840598004598453,0.218833834785839
"AC-15",0.205392653103842,0.0608758138760802,0.411456840503733,0.854678063257263,0.49938784715255,0.153921832360552,0.800807930261748,0.783435099170651,0.857893822339259,0.300009691326611,0.195389396083479,0.310924755755133,0.048173759190473,0.389736054599059,0.429660317099502,5.59589616399069e-05,0.304082393641799,0.494717701259448,0.327987227805297,0.230198576645928,0.375403357054608,0.0634552637068412,0.539191861638655,0.128225611880317,0.190145796962626,0.00813870056692159,0.346309333624607
"AC-16",0.407648424674158,0.317911688858224,0.609829313347627,0.385800269292529,0.826423461427459,0.0965073890570456,0.726090581843396,0.659680404768649,0.741887278236777,0.121441352902613,0.298118153267165,0.219657769646663,0.0282110699314863,0.334873894056681,0.252472167722027,0.128944470931626,0.612166269434611,0.834203104996718,0.335930292365389,0.173209370913786,0.45722132834812,0.0815863873115187,0.47050494517009,0.267097706803561,0.321504990969958,0.213752581868484,0.333614100673691
"AC-18",0.291960643205943,0.205415491044053,0.00451969406585517,0.092605933353697,0.713647062349649,0.0775301489759411,0.612382380771679,0.368201179501583,0.517509854181358,0.236704406817797,0.240854067943689,0.212404734587747,0.241940618758586,0.215050657798872,0.406863672906327,0.146867948323791,0.691478818497508,0.520694575881845,0.0610252998913196,0.302082149268856,0.402070827171782,0.0238224053073597,0.0458090243557359,0.1342964918124,0.228829609484388,0.184112770699549,0.402932595966537
"AC-19",0.166017649568346,0.147978390988854,0.0773948070028946,0.347393992221216,0.571029864985444,0.370590302409311,0.562743894536956,0.466128300973018,0.456145072259694,0.130450918238127,0.0558904986824044,0.15288323382467,0.125058225011425,0.5356464201568,0.290177817568168,0.244015454207601,0.168475414103566,0.465381086893911,0.433503608254708,0.281233353859904,0.203672550031904,0.0925354694577498,0.163252410780135,0.334078427871922,0.0507489676587348,0.21598973682994,0.413426679628321
"AC-20",0.475823108974978,0.268783536592046,0.245174091640688,0.494521603018793,0.684642699965373,0.234474391557685,0.421741606680192,0.279143437361883,0.153106434485508,0.384932103265904,0.13798000629299,0.178107626668135,0.0320883475368603,0.281766337472866,0.543907918250319,0.116798397781671,0.350425981655929,0.572518227245262,0.12497546625119,0.224913743192411,0.137066640350603,0.0589426200982012,0.126123278148222,0.480647523637055,0.296142425630771,0.335983184777964,0.0431575265449298
"AC-21",0.278776013589762,0.11014461822486,0.33847317526788,0.400753308843666,0.748032492332446,0.341424253197609,0.560570266883812,0.535859075003363,0.358563838455859,0.316104615451694,0.129909360281342,0.18013078208984,0.0531171970341692,0.633689437160843,0.7604840128428,0.0780880637163589,0.278441890442883,0.610077683282516,0.148850650271024,0.343827260625766,0.273612887973228,0.239744380516893,0.328321650402024,0.208670571073413,0.14308180329312,0.129395077146956,0.10406512843716
"AC-22",0.310150351586963,0.0815433196914759,0.361816409321641,0.384959234408923,0.800852033973251,0.0303876098630613,0.579047026096493,0.499795192433694,0.562892058776394,0.247531795926236,0.120347671192141,0.0984237046729283,0.791155054486203,0.418940273990453,0.945074890829698,0.0431347185786915,0.623167483578458,0.671479152112815,0.174004668327977,0.289460196216382,0.0113595077914118,0.107675771086711,0.0297611718684972,0.348496780567235,0.180327468850704,0.231510740810988,0.12155029957523
"AC-8",0.25394183156579,0.151206393761678,0.270391161063882,0.722403222835215,0.771265931062391,0.161915026720342,0.77940265200789,0.800859470122884,0.781190804792002,0.838917946680844,0.0136499095366874,0.20708748780794,0.114233395321663,0.87927743077348,0.864507713305398,0.0893677188611158,0.280153701350213,0.683620027628895,0.562138333502034,0.67685639615825,0.296417513589647,0.181937829193183,0.779383863258322,0.224871010738029,0.545755209536965,0.093616355242863,0.272333617490307
