GRID_ID,Mean_Biomass,SD_Biomass,Mean_SWF,Mean_SHDI,SD_SHDI,Mean_Elev,Mean_Slope,Mean_Aspect,Mean_Temp,Mean_Rs,Mean_P,Mean_Soil_pote,SD_Rs,SD_P,SD_Temp,SD_Soil_pote,SD_Elev,SD_Aspect,SD_Slope,Mean_Bulk_Dens,SD_Bulk_Dens,Mean_Ca_Exg,SD_Ca_Exg,Mean_Clay,SD_Clay,Mean_Sand,SD_Sand,Mean_Silt,SD_Silt
AI-23,560.31,279.6,2.11,0.87,0.76,314.22,16.33,158.28,18.37,277.56,0.5,53.65,3.17,0.05,0.19,18.83,20.12,92.53,11.29,1.1078,0.623,16.061,14.971,27.36,29.195,20.271,20.276,42.155,33.276
AI-24,587.06,266.23,1.56,1.15,0.99,293.66,19.41,187.78,18.2,287.64,0.83,37.49,1.77,0.03,0.32,13.82,22.17,95.54,12.96,1.141,0.6163,16.776,15.834,28.835,29.854,19.47,19.73,41.559,33.314
AJ-23,614.93,303.66,1.91,0.97,0.83,311.15,18.34,184.9,18.25,250.67,1.42,61.91,2.35,0.03,0.26,14.99,21.54,87.57,12.66,1.0875,0.6213,15.074,14.386,27.395,29.205,18.371,18.505,43.571,34.002
AJ-24,544.57,276.12,1.39,0.92,0.77,307.3,18.33,226.19,17.38,286.8,0.76,41.29,1.67,0.06,0.33,16.37,26.73,108.81,12.46,1.1281,0.6108,16.209,15.228,29.026,29.89,19.895,19.802,40.754,32.899
AJ-25,521.13,266.42,1.51,1.09,0.9,300.24,11.5,190.78,17.55,276.75,4.85,48.19,0.97,0.16,0.24,18.64,18.76,85.48,7.22,1.1555,0.6058,16.313,14.853,28.795,29.905,19.718,19.948,41.521,33.284
AJ-26,556.15,274.87,2.7,1.33,0.95,267.74,9.89,174.88,18.18,274.24,3.02,65.14,1.16,0.27,0.6,4.06,13.22,95.57,6.88,1.1432,0.6055,16.236,14.685,30.144,30.283,19.383,20.052,40.759,33.571
AJ-28,551.52,282.97,1.99,1.28,0.97,272.25,14.89,219.26,17.48,299.91,1.59,38.73,3.07,0.13,0.54,13.62,21.61,94.26,9.23,1.1509,0.6091,16.341,15.192,27.777,29.68,22.127,24.669,42.285,34.401
AK-22,514.48,272.39,1.95,1.1,0.77,327.93,15.76,200.05,0,0,0,54.37,0.77,0.04,0.19,18.18,20.95,94.62,9.96,1.0888,0.6207,14.77,13.857,26.961,28.907,19.332,19.472,43.087,33.838
AK-23,523.28,274.98,2.26,1.1,0.94,332.98,16.67,192.38,17.39,262.99,5.34,34.6,1.22,0.07,0.31,8.2,18.66,103.8,13.04,1.1045,0.6187,15.905,15.009,27.774,29.629,18.529,19.094,43.41,33.996
AK-24,501.12,258.7,0.45,1.06,0.75,305.49,13.23,149.86,19.54,285.38,1.52,46.89,0.68,0.11,0.59,17.79,20.19,89.05,8.91,1.1458,0.6059,15.913,14.828,29.47,30.117,18.205,18.84,42.233,33.574
AK-25,549.3,291.36,1.69,1.17,1.03,278.11,14.44,188.07,18.99,282.91,2.08,60.98,1.08,0.28,0.21,13.39,21.04,91.98,9.92,1.1267,0.6065,15.904,14.485,30.045,30.636,18.631,19.307,41.43,33.576
AK-26,566.61,281.92,2.34,1.35,1.06,301.78,14.93,223.93,16.79,263.85,6.93,44.12,1.96,0.14,0.38,16.93,26.14,104.98,10.39,1.0969,0.6185,15.661,14.121,25.869,29,20.175,20.912,44.472,34.563
AK-27,592.74,263.63,1.93,0.92,0.69,286.74,10.43,171.29,18.31,283.15,2.83,63.85,4.32,0.29,0.61,14.37,13.95,96.86,7.41,1.1462,0.6093,16.663,15.397,28.213,29.586,18.943,21.079,43.916,34.678
AK-28,539.99,265.57,5.99,1.38,1.24,249.01,17.17,202.01,19.75,290.5,1.54,49.36,2.47,0.13,0.53,16.36,21.72,102.5,12.06,1.1431,0.6076,15.671,14.065,27.713,29.118,19.168,20.879,44.032,34.636
AK-29,560.96,282.89,4.4,1.3,1.18,272.28,13.72,166.54,21.95,276.38,2.59,41.17,1.07,0.12,0.55,14.65,19.91,124.65,9.43,1.1414,0.6042,16.898,14.657,29.147,31.259,23.761,25.791,39.444,33.479
AL-22,581.13,310.32,0.92,0.95,0.81,340.43,15.46,167.4,18.2,262.66,6.23,67.74,1.64,0.09,0.31,9.97,22.21,94.25,12.55,1.1037,0.6138,14.864,13.751,26.147,28.238,20.366,20.132,42.912,33.72
AL-23,563.6,292.14,1.16,1.06,0.75,313.47,14.55,168.11,17.29,286.52,0.54,34.61,1.13,0.06,0.32,9.82,18.26,90.98,9.61,1.1337,0.6134,15.49,14.542,27.694,29.414,16.739,17.311,45.068,34.178
AL-24,526.1,269.3,3.61,1.15,0.83,300.22,14.19,194.3,19.33,265.36,1.68,32.21,1.82,0.05,0.31,1.85,19.37,99.57,9.21,1.1536,0.6087,16.663,15.51,29.387,30.272,16.811,17.377,43.383,33.904
AL-25,546.21,284.36,2.55,1.22,1.08,304.56,17.68,222.31,20.2,263.06,2.21,32.56,2.66,0.23,0.41,1.98,21.04,101.76,13.99,1.1461,0.6139,15.357,14.444,28.858,30.246,17.044,18.069,44.091,34.558
AL-26,523.15,265.65,2.1,1.21,0.98,312.81,10.59,167.97,18.08,284.2,2.51,55.02,1.1,0.17,0.3,19.06,14.83,106.38,7.89,1.1266,0.6133,15.672,14.379,26.933,29.621,19.46,20.963,44.668,34.774
AL-27,593.05,306.53,2.35,1.14,1,296.87,10.5,152.01,19.96,285.18,1.45,71.22,1.29,0.13,0.75,2.4,12.88,94.58,7.38,1.1424,0.6091,15.909,14.583,27.753,29.335,18.325,19.78,44.421,34.597
AL-28,574.25,275.89,2.3,1.12,0.91,269.11,11.51,146.43,20.88,289.52,0.8,65.03,2.49,0.16,0.46,2.97,18.77,91.12,8.46,1.1424,0.6048,16.099,14.093,27.705,28.73,16.9,17.751,44.656,34.445
AL-29,568.33,296.94,8.09,1.39,1.23,245.5,16.93,172.78,20.81,273.78,2.09,57.54,1.23,0.1,0.35,11.93,21.24,117,12.41,1.1505,0.6106,16.496,14.628,28.326,29.975,20.921,22.875,42.217,34.314
AL-30,571.43,260.25,3.64,1.17,0.92,267.46,10.86,160.96,22.32,278.09,1.65,64.21,1.3,0.14,0.53,2.98,11.4,112.59,9.52,1.1568,0.6146,16.602,14.835,27.963,30.103,20.076,22.064,43.464,34.789
AM-22,551.5,268.31,0.78,0.8,0.74,333.31,12.75,197.29,19.43,271.91,3.42,52.33,1.4,0.08,0.52,19.7,19.36,97.97,8.81,1.1222,0.611,15.679,14.595,26.771,28.765,19.431,20.021,44.03,34.117
AM-23,485.6,245.33,1.47,1.17,0.82,324.5,12.76,169.52,20,277.72,3.3,39.13,0.43,0.1,0.18,13.15,16.14,105.4,8.41,1.161,0.6169,15.655,14.756,28.339,29.744,17.433,18.745,44.431,34.324
AM-24,554.3,266.47,1.39,1.34,1.21,313.91,13.89,147.13,19.43,285.16,1.82,50.73,1.05,0.06,0.1,17.38,19.85,87.75,10.91,1.1463,0.6176,15.459,14.665,28.932,29.91,15.87,16.636,44.479,34.447
AM-25,560.33,279.77,2.45,1.08,0.91,296.65,11.49,136.43,18.9,282.94,2.36,62.82,2.16,0.25,0.39,13.42,18.37,89.39,10,1.1544,0.6139,15.318,14.533,28.247,29.522,15.956,16.975,45.328,34.749
AM-26,534,272.11,5.14,1.32,1.15,277.23,14.5,129.27,17.41,269.69,4.07,64.24,2.03,0.1,0.71,2.69,18.62,94.46,9.51,1.1408,0.6055,15.539,13.984,28.297,29.538,18.101,19.281,43.924,34.352
AM-27,582.69,305.86,2.74,1.33,1.1,266.95,12.78,141.73,21.34,282.92,1.76,64.3,2,0.06,0.6,1.93,16.77,97.94,9.64,1.1418,0.6033,16.296,14.287,27.83,29.511,18.075,19.321,44.493,34.51
AM-28,579.78,291.79,3.62,1.13,0.98,235.1,12.02,188.32,21.41,275.57,1.58,64.78,1.25,0.03,0.29,2.38,15.2,112.37,9.71,1.1572,0.615,16,14.02,27.908,29.754,19.885,21.956,43.721,34.976
AM-29,575,287.52,2.94,0.83,0.75,253.12,9.47,187.91,21.64,274.59,1.23,65.17,1.01,0.04,0.19,1.95,10.15,116.63,6.75,1.1521,0.6184,16.069,14.576,28.771,30.783,20.508,23.265,42.898,35.078
AM-30,587.16,231.1,1.69,0.81,0.68,261.43,6.12,181.99,22.61,273.1,1.22,66.96,0.94,0.05,0.12,2.14,5.57,118.68,4.43,1.152,0.6224,16.986,15.503,29.542,30.852,20.414,22.813,41.695,34.365
AN-22,569.96,277.63,0.47,1.1,0.84,323.36,15.67,134.28,20.53,276.73,2.4,43.96,0.73,0.03,0.39,17.59,24.51,93.69,10.35,1.1347,0.6101,14.679,13.443,26.226,27.722,20.345,20.675,43.445,33.67
AN-23,533.75,271.32,2.76,1.35,1.09,303.3,15.24,146.97,20.77,276.42,1.81,60.71,0.72,0.07,0.2,13.38,22.29,85.41,12.12,1.1465,0.6137,15.129,13.878,27.958,28.709,18.385,18.868,43.41,33.78
AN-24,525.68,233.73,2.2,1.23,1,264.37,9.35,133.35,19.74,283.01,1.79,64.61,0.11,0.13,0.35,2.41,15.89,84.82,6.73,1.1585,0.6151,15.544,14.242,30.631,30.357,17.236,17.94,41.865,33.628
AN-25,560.35,244.69,1.35,0.94,0.76,257.34,9.16,131.91,19.1,284.3,1.81,64.55,1.49,0.16,0.34,1.7,15.21,97.78,7.79,1.1539,0.6148,14.972,13.482,28.964,29.161,18.335,19.247,42.558,33.917
